precinct,candidate,votes
Banks Township,DAVE SUNDAY (REP),287
Banks Township,ERIC L SETTLE (FWD),1
Banks Township,EUGENE DEPASQUALE (DEM),162
Banks Township,JUSTIN L MAGILL (CON),1
Banks Township,RICHARD L WEISS (GRN),10
Banks Township,ROBERT COWBURN (LIB),5
Beaver Meadows Borough,DAVE SUNDAY (REP),291
Beaver Meadows Borough,ERIC L SETTLE (FWD),2
Beaver Meadows Borough,EUGENE DEPASQUALE (DEM),118
Beaver Meadows Borough,JUSTIN L MAGILL (CON),1
Beaver Meadows Borough,RICHARD L WEISS (GRN),0
Beaver Meadows Borough,ROBERT COWBURN (LIB),7
Bowmanstown Borough,DAVE SUNDAY (REP),297
Bowmanstown Borough,ERIC L SETTLE (FWD),1
Bowmanstown Borough,EUGENE DEPASQUALE (DEM),139
Bowmanstown Borough,JUSTIN L MAGILL (CON),1
Bowmanstown Borough,RICHARD L WEISS (GRN),2
Bowmanstown Borough,ROBERT COWBURN (LIB),11
East Penn Township - North,DAVE SUNDAY (REP),621
East Penn Township - North,ERIC L SETTLE (FWD),1
East Penn Township - North,EUGENE DEPASQUALE (DEM),197
East Penn Township - North,JUSTIN L MAGILL (CON),5
East Penn Township - North,RICHARD L WEISS (GRN),5
East Penn Township - North,ROBERT COWBURN (LIB),11
East Penn Township - South,DAVE SUNDAY (REP),597
East Penn Township - South,ERIC L SETTLE (FWD),0
East Penn Township - South,EUGENE DEPASQUALE (DEM),216
East Penn Township - South,JUSTIN L MAGILL (CON),4
East Penn Township - South,RICHARD L WEISS (GRN),2
East Penn Township - South,ROBERT COWBURN (LIB),10
East Side Borough,DAVE SUNDAY (REP),64
East Side Borough,ERIC L SETTLE (FWD),1
East Side Borough,EUGENE DEPASQUALE (DEM),42
East Side Borough,JUSTIN L MAGILL (CON),2
East Side Borough,RICHARD L WEISS (GRN),2
East Side Borough,ROBERT COWBURN (LIB),6
Franklin Township - Harrity,DAVE SUNDAY (REP),749
