precinct,candidate,votes
Lehighton Borough - Second Ward,EUGENE DEPASQUALE (DEM),272
Lehighton Borough - Second Ward,DAVE SUNDAY (REP),429
Lehighton Borough - Third Ward,EUGENE DEPASQUALE (DEM),298
Lehighton Borough - Third Ward,DAVE SUNDAY (REP),496
Lower Towamensing Township - North,EUGENE DEPASQUALE (DEM),272
Lower Towamensing Township - North,DAVE SUNDAY (REP),748
Lower Towamensing Township - South,EUGENE DEPASQUALE (DEM),211
Lower Towamensing Township - South,DAVE SUNDAY (REP),509
Mahoning Township - Mahoning,EUGENE DEPASQUALE (DEM),394
Mahoning Township - Mahoning,DAVE SUNDAY (REP),964
Mahoning Township - New Mahoning,EUGENE DEPASQUALE (DEM),117
Mahoning Township - New Mahoning,DAVE SUNDAY (REP),400
Mahoning Township - Packerton/Jamestown,EUGENE DEPASQUALE (DEM),123
Mahoning Township - Packerton/Jamestown,DAVE SUNDAY (REP),282
Nesquehoning Borough - East,EUGENE DEPASQUALE (DEM),275
Nesquehoning Borough - East,DAVE SUNDAY (REP),423
Nesquehoning Borough - West,EUGENE DEPASQUALE (DEM),300
Nesquehoning Borough - West,DAVE SUNDAY (REP),465
Packer Township,EUGENE DEPASQUALE (DEM),123
Packer Township,DAVE SUNDAY (REP),497
Palmerton Borough - East,EUGENE DEPASQUALE (DEM),256
Palmerton Borough - East,DAVE SUNDAY (REP),592
Palmerton Borough - Middle,EUGENE DEPASQUALE (DEM),445
Palmerton Borough - Middle,DAVE SUNDAY (REP),767
Palmerton Borough - West,EUGENE DEPASQUALE (DEM),125
Palmerton Borough - West,DAVE SUNDAY (REP),259
Parryville Borough,EUGENE DEPASQUALE (DEM),54
Parryville Borough,DAVE SUNDAY (REP),148
Penn Forest Township - Southwest,EUGENE DEPASQUALE (DEM),395
Penn Forest Township - Southwest,DAVE SUNDAY (REP),692
Penn Forest Township - Northwest,EUGENE DEPASQUALE (DEM),412
Penn Forest Township - Northwest,DAVE SUNDAY (REP),930
Penn Forest Township - Middle,EUGENE DEPASQUALE (DEM),282
Penn Forest Township - Middle,DAVE SUNDAY (REP),521
Penn Forest Township - Northeast,EUGENE DEPASQUALE (DEM),455
Penn Forest Township - Northeast,DAVE SUNDAY (REP),776
Penn Forest Township - East,EUGENE DEPASQUALE (DEM),426
Penn Forest Township - East,DAVE SUNDAY (REP),706
Summit Hill Borough - First Ward,EUGENE DEPASQUALE (DEM),160
Summit Hill Borough - First Ward,DAVE SUNDAY (REP),217
Summit Hill Borough - Second Ward,EUGENE DEPASQUALE (DEM),179
Summit Hill Borough - Second Ward,DAVE SUNDAY (REP),203
