precinct,candidate,votes
Summit Hill Borough - Third Ward/First,MALCOLM KENYATTA (DEM),172
Summit Hill Borough - Third Ward/First,TIM DEFOOR (REP),286
Summit Hill Borough - Third Ward/Second,MALCOLM KENYATTA (DEM),93
Summit Hill Borough - Third Ward/Second,TIM DEFOOR (REP),181
Towamensing Township - North,MALCOLM KENYATTA (DEM),263
Towamensing Township - North,TIM DEFOOR (REP),637
Towamensing Township - South-1,MALCOLM KENYATTA (DEM),229
Towamensing Township - South-1,TIM DEFOOR (REP),690
Towamensing Township - South-2,MALCOLM KENYATTA (DEM),216
Towamensing Township - South-2,TIM DEFOOR (REP),578
Weatherly Borough - East,MALCOLM KENYATTA (DEM),209
Weatherly Borough - East,TIM DEFOOR (REP),531
Weatherly Borough - West,MALCOLM KENYATTA (DEM),99
Weatherly Borough - West,TIM DEFOOR (REP),286
Weissport Borough,MALCOLM KENYATTA (DEM),43
Weissport Borough,TIM DEFOOR (REP),99
