precinct,candidate,votes
Summit Hill Borough - Third Ward/First,CHASE OLIVER (LIB),3
Summit Hill Borough - Third Ward/First,JILL STEIN (GRN),2
Summit Hill Borough - Third Ward/Second,CHASE OLIVER (LIB),1
Summit Hill Borough - Third Ward/Second,JILL STEIN (GRN),0
Towamensing Township - North,CHASE OLIVER (LIB),10
Towamensing Township - North,JILL STEIN (GRN),2
Towamensing Township - South-1,CHASE OLIVER (LIB),8
Towamensing Township - South-1,JILL STEIN (GRN),3
Towamensing Township - South-2,CHASE OLIVER (LIB),2
Towamensing Township - South-2,JILL STEIN (GRN),3
Weatherly Borough - East,CHASE OLIVER (LIB),7
Weatherly Borough - East,JILL STEIN (GRN),3
Weatherly Borough - West,CHASE OLIVER (LIB),2
Weatherly Borough - West,JILL STEIN (GRN),1
Weissport Borough,CHASE OLIVER (LIB),1
Weissport Borough,JILL STEIN (GRN),3
