precinct,candidate,votes
Banks Township,CHASE OLIVER (LIB),1
Banks Township,DONALD J TRUMP (REP),328
Banks Township,JILL STEIN (GRN),4
Banks Township,KAMALA D HARRIS (DEM),155
Beaver Meadows Borough,CHASE OLIVER (LIB),1
Beaver Meadows Borough,DONALD J TRUMP (REP),320
Beaver Meadows Borough,JILL STEIN (GRN),0
Beaver Meadows Borough,KAMALA D HARRIS (DEM),109
Bowmanstown Borough,CHASE OLIVER (LIB),2
Bowmanstown Borough,DONALD J TRUMP (REP),323
Bowmanstown Borough,JILL STEIN (GRN),1
Bowmanstown Borough,KAMALA D HARRIS (DEM),138
East Penn Township - North,CHASE OLIVER (LIB),7
East Penn Township - North,DONALD J TRUMP (REP),640
East Penn Township - North,JILL STEIN (GRN),2
East Penn Township - North,KAMALA D HARRIS (DEM),205
East Penn Township - South,CHASE OLIVER (LIB),1
East Penn Township - South,DONALD J TRUMP (REP),625
East Penn Township - South,JILL STEIN (GRN),2
East Penn Township - South,KAMALA D HARRIS (DEM),225
East Side Borough,CHASE OLIVER (LIB),1
East Side Borough,DONALD J TRUMP (REP),79
East Side Borough,JILL STEIN (GRN),1
East Side Borough,KAMALA D HARRIS (DEM),39
Franklin Township - Harrity,CHASE OLIVER (LIB),3
Franklin Township - Harrity,DONALD J TRUMP (REP),784
Franklin Township - Harrity,JILL STEIN (GRN),4
Franklin Township - Harrity,KAMALA D HARRIS (DEM),280
Franklin Township - Independent,CHASE OLIVER (LIB),5
Franklin Township - Independent,DONALD J TRUMP (REP),462
Franklin Township - Independent,JILL STEIN (GRN),1
Franklin Township - Independent,KAMALA D HARRIS (DEM),162
Franklin Township - Long Run,CHASE OLIVER (LIB),3
Franklin Township - Long Run,DONALD J TRUMP (REP),649
Franklin Township - Long Run,JILL STEIN (GRN),5
Franklin Township - Long Run,KAMALA D HARRIS (DEM),215
Jim Thorpe Borough - Fifth Ward,CHASE OLIVER (LIB),7
Jim Thorpe Borough - Fifth Ward,DONALD J TRUMP (REP),359
Jim Thorpe Borough - Fifth Ward,JILL STEIN (GRN),3
Jim Thorpe Borough - Fifth Ward,KAMALA D HARRIS (DEM),275
Jim Thorpe Borough - First Ward,CHASE OLIVER (LIB),5
Jim Thorpe Borough - First Ward,DONALD J TRUMP (REP),307
Jim Thorpe Borough - First Ward,JILL STEIN (GRN),2
Jim Thorpe Borough - First Ward,KAMALA D HARRIS (DEM),229
Jim Thorpe Borough - Fourth Ward,CHASE OLIVER (LIB),0
Jim Thorpe Borough - Fourth Ward,DONALD J TRUMP (REP),144
Jim Thorpe Borough - Fourth Ward,JILL STEIN (GRN),1
Jim Thorpe Borough - Fourth Ward,KAMALA D HARRIS (DEM),137
Jim Thorpe Borough - Second Ward,CHASE OLIVER (LIB),2
Jim Thorpe Borough - Second Ward,DONALD J TRUMP (REP),241
Jim Thorpe Borough - Second Ward,JILL STEIN (GRN),1
Jim Thorpe Borough - Second Ward,KAMALA D HARRIS (DEM),166
Jim Thorpe Borough - Third Ward,CHASE OLIVER (LIB),5
Jim Thorpe Borough - Third Ward,DONALD J TRUMP (REP),494
Jim Thorpe Borough - Third Ward,JILL STEIN (GRN),2
Jim Thorpe Borough - Third Ward,KAMALA D HARRIS (DEM),284
Kidder Township - North,CHASE OLIVER (LIB),1
Kidder Township - North,DONALD J TRUMP (REP),201
Kidder Township - North,JILL STEIN (GRN),0
Kidder Township - North,KAMALA D HARRIS (DEM),125
Kidder Township - South,CHASE OLIVER (LIB),2
Kidder Township - South,DONALD J TRUMP (REP),510
Kidder Township - South,JILL STEIN (GRN),3
Kidder Township - South,KAMALA D HARRIS (DEM),236
Lansford Borough - East,CHASE OLIVER (LIB),5
Lansford Borough - East,DONALD J TRUMP (REP),432
Lansford Borough - East,JILL STEIN (GRN),3
Lansford Borough - East,KAMALA D HARRIS (DEM),234
Lansford Borough - Middle,CHASE OLIVER (LIB),0
Lansford Borough - Middle,DONALD J TRUMP (REP),254
Lansford Borough - Middle,JILL STEIN (GRN),1
Lansford Borough - Middle,KAMALA D HARRIS (DEM),153
Lansford Borough - West,CHASE OLIVER (LIB),0
Lansford Borough - West,DONALD J TRUMP (REP),256
Lansford Borough - West,JILL STEIN (GRN),2
Lansford Borough - West,KAMALA D HARRIS (DEM),152
Lausanne Township,CHASE OLIVER (LIB),0
Lausanne Township,DONALD J TRUMP (REP),111
Lausanne Township,JILL STEIN (GRN),0
Lausanne Township,KAMALA D HARRIS (DEM),37
Lehigh Township,CHASE OLIVER (LIB),1
Lehigh Township,DONALD J TRUMP (REP),227
Lehigh Township,JILL STEIN (GRN),2
Lehigh Township,KAMALA D HARRIS (DEM),54
Lehighton Borough - First Ward,CHASE OLIVER (LIB),3
Lehighton Borough - First Ward,DONALD J TRUMP (REP),530
Lehighton Borough - First Ward,JILL STEIN (GRN),0
Lehighton Borough - First Ward,KAMALA D HARRIS (DEM),327
Lehighton Borough - Second Ward,CHASE OLIVER (LIB),6
Lehighton Borough - Second Ward,DONALD J TRUMP (REP),453
Lehighton Borough - Second Ward,JILL STEIN (GRN),2
Lehighton Borough - Second Ward,KAMALA D HARRIS (DEM),298
Lehighton Borough - Third Ward,CHASE OLIVER (LIB),1
Lehighton Borough - Third Ward,DONALD J TRUMP (REP),543
Lehighton Borough - Third Ward,JILL STEIN (GRN),3
Lehighton Borough - Third Ward,KAMALA D HARRIS (DEM),305
Lower Towamensing Township - North,CHASE OLIVER (LIB),5
Lower Towamensing Township - North,DONALD J TRUMP (REP),780
Lower Towamensing Township - North,JILL STEIN (GRN),8
Lower Towamensing Township - North,KAMALA D HARRIS (DEM),270
Lower Towamensing Township - South,CHASE OLIVER (LIB),2
Lower Towamensing Township - South,DONALD J TRUMP (REP),535
Lower Towamensing Township - South,JILL STEIN (GRN),4
Lower Towamensing Township - South,KAMALA D HARRIS (DEM),216
Mahoning Township - Mahoning,CHASE OLIVER (LIB),3
Mahoning Township - Mahoning,DONALD J TRUMP (REP),0
Mahoning Township - Mahoning,JILL STEIN (GRN),4
Mahoning Township - Mahoning,KAMALA D HARRIS (DEM),416
Mahoning Township - New Mahoning,CHASE OLIVER (LIB),4
Mahoning Township - New Mahoning,DONALD J TRUMP (REP),400
Mahoning Township - New Mahoning,JILL STEIN (GRN),0
Mahoning Township - New Mahoning,KAMALA D HARRIS (DEM),138
Mahoning Township - Packerton/Jamestown,CHASE OLIVER (LIB),1
Mahoning Township - Packerton/Jamestown,DONALD J TRUMP (REP),301
Mahoning Township - Packerton/Jamestown,JILL STEIN (GRN),2
Mahoning Township - Packerton/Jamestown,KAMALA D HARRIS (DEM),126
Nesquehoning Borough - East,CHASE OLIVER (LIB),3
Nesquehoning Borough - East,DONALD J TRUMP (REP),467
Nesquehoning Borough - East,JILL STEIN (GRN),3
Nesquehoning Borough - East,KAMALA D HARRIS (DEM),267
Nesquehoning Borough - West,CHASE OLIVER (LIB),5
Nesquehoning Borough - West,DONALD J TRUMP (REP),511
Nesquehoning Borough - West,JILL STEIN (GRN),1
Nesquehoning Borough - West,KAMALA D HARRIS (DEM),297
Packer Township,CHASE OLIVER (LIB),2
Packer Township,DONALD J TRUMP (REP),535
Packer Township,JILL STEIN (GRN),1
Packer Township,KAMALA D HARRIS (DEM),115
Palmerton Borough - East,CHASE OLIVER (LIB),8
Palmerton Borough - East,DONALD J TRUMP (REP),607
Palmerton Borough - East,JILL STEIN (GRN),3
Palmerton Borough - East,KAMALA D HARRIS (DEM),276
Palmerton Borough - Middle,CHASE OLIVER (LIB),5
Palmerton Borough - Middle,DONALD J TRUMP (REP),804
Palmerton Borough - Middle,JILL STEIN (GRN),8
Palmerton Borough - Middle,KAMALA D HARRIS (DEM),458
Palmerton Borough - West,CHASE OLIVER (LIB),4
Palmerton Borough - West,DONALD J TRUMP (REP),284
Palmerton Borough - West,JILL STEIN (GRN),4
Palmerton Borough - West,KAMALA D HARRIS (DEM),126
Parryville Borough,CHASE OLIVER (LIB),2
Parryville Borough,DONALD J TRUMP (REP),155
Parryville Borough,JILL STEIN (GRN),1
Parryville Borough,KAMALA D HARRIS (DEM),63
Penn Forest Township - East,CHASE OLIVER (LIB),2
Penn Forest Township - East,DONALD J TRUMP (REP),735
Penn Forest Township - East,JILL STEIN (GRN),3
Penn Forest Township - East,KAMALA D HARRIS (DEM),446
Penn Forest Township - Middle,CHASE OLIVER (LIB),6
Penn Forest Township - Middle,DONALD J TRUMP (REP),535
Penn Forest Township - Middle,JILL STEIN (GRN),3
Penn Forest Township - Middle,KAMALA D HARRIS (DEM),299
Penn Forest Township - Northeast,CHASE OLIVER (LIB),5
Penn Forest Township - Northeast,DONALD J TRUMP (REP),829
