precinct,candidate,votes
Summit Hill Borough - Third Ward/First,SUSAN WILD (DEM),194
Summit Hill Borough - Third Ward/First,RYAN E MACKENZIE (REP),296
Summit Hill Borough - Third Ward/Second,SUSAN WILD (DEM),102
Summit Hill Borough - Third Ward/Second,RYAN E MACKENZIE (REP),192
Towamensing Township - North,SUSAN WILD (DEM),298
Towamensing Township - North,RYAN E MACKENZIE (REP),649
Towamensing Township - South-1,SUSAN WILD (DEM),253
Towamensing Township - South-1,RYAN E MACKENZIE (REP),710
Towamensing Township - South-2,SUSAN WILD (DEM),238
Towamensing Township - South-2,RYAN E MACKENZIE (REP),586
Weatherly Borough - East,SUSAN WILD (DEM),238
Weatherly Borough - East,RYAN E MACKENZIE (REP),541
Weatherly Borough - West,SUSAN WILD (DEM),103
Weatherly Borough - West,RYAN E MACKENZIE (REP),292
Weissport Borough,SUSAN WILD (DEM),53
Weissport Borough,RYAN E MACKENZIE (REP),99
