precinct,candidate,votes
Banks Township,RYAN E MACKENZIE (REP),284
Banks Township,SUSAN WILD (DEM),181
Banks Township,Unresolved Write-In,2
Beaver Meadows Borough,RYAN E MACKENZIE (REP),298
Beaver Meadows Borough,SUSAN WILD (DEM),118
Beaver Meadows Borough,Unresolved Write-In,1
Bowmanstown Borough,RYAN E MACKENZIE (REP),309
Bowmanstown Borough,SUSAN WILD (DEM),143
Bowmanstown Borough,Unresolved Write-In,0
East Penn Township - North,RYAN E MACKENZIE (REP),640
East Penn Township - North,SUSAN WILD (DEM),202
East Penn Township - North,Unresolved Write-In,0
East Penn Township - South,RYAN E MACKENZIE (REP),603
East Penn Township - South,SUSAN WILD (DEM),232
East Penn Township - South,Unresolved Write-In,1
East Side Borough,RYAN E MACKENZIE (REP),78
East Side Borough,SUSAN WILD (DEM),38
East Side Borough,Unresolved Write-In,0
Franklin Township - Harrity,RYAN E MACKENZIE (REP),760
Franklin Township - Harrity,SUSAN WILD (DEM),301
Franklin Township - Harrity,Unresolved Write-In,4
Franklin Township - Independent,RYAN E MACKENZIE (REP),450
Franklin Township - Independent,SUSAN WILD (DEM),164
Franklin Township - Independent,Unresolved Write-In,0
Franklin Township - Long Run,RYAN E MACKENZIE (REP),626
Franklin Township - Long Run,SUSAN WILD (DEM),235
Franklin Township - Long Run,Unresolved Write-In,1
Jim Thorpe Borough - Fifth Ward,RYAN E MACKENZIE (REP),352
Jim Thorpe Borough - Fifth Ward,SUSAN WILD (DEM),275
Jim Thorpe Borough - Fifth Ward,Unresolved Write-In,1
Jim Thorpe Borough - First Ward,RYAN E MACKENZIE (REP),297
Jim Thorpe Borough - First Ward,SUSAN WILD (DEM),229
Jim Thorpe Borough - First Ward,Unresolved Write-In,1
Jim Thorpe Borough - Fourth Ward,RYAN E MACKENZIE (REP),134
Jim Thorpe Borough - Fourth Ward,SUSAN WILD (DEM),138
Jim Thorpe Borough - Fourth Ward,Unresolved Write-In,0
Jim Thorpe Borough - Second Ward,RYAN E MACKENZIE (REP),226
Jim Thorpe Borough - Second Ward,SUSAN WILD (DEM),163
Jim Thorpe Borough - Second Ward,Unresolved Write-In,1
Jim Thorpe Borough - Third Ward,RYAN E MACKENZIE (REP),464
Jim Thorpe Borough - Third Ward,SUSAN WILD (DEM),286
Jim Thorpe Borough - Third Ward,Unresolved Write-In,2
Kidder Township - North,RYAN E MACKENZIE (REP),202
Kidder Township - North,SUSAN WILD (DEM),120
Kidder Township - North,Unresolved Write-In,3
Kidder Township - South,RYAN E MACKENZIE (REP),484
Kidder Township - South,SUSAN WILD (DEM),227
Kidder Township - South,Unresolved Write-In,0
Lansford Borough - East,RYAN E MACKENZIE (REP),392
Lansford Borough - East,SUSAN WILD (DEM),249
Lansford Borough - East,Unresolved Write-In,4
Lansford Borough - Middle,RYAN E MACKENZIE (REP),246
Lansford Borough - Middle,SUSAN WILD (DEM),152
Lansford Borough - Middle,Unresolved Write-In,1
Lansford Borough - West,RYAN E MACKENZIE (REP),237
Lansford Borough - West,SUSAN WILD (DEM),165
Lansford Borough - West,Unresolved Write-In,2
Lausanne Township,RYAN E MACKENZIE (REP),106
Lausanne Township,SUSAN WILD (DEM),38
Lausanne Township,Unresolved Write-In,0
Lehigh Township,RYAN E MACKENZIE (REP),214
Lehigh Township,SUSAN WILD (DEM),58
Lehigh Township,Unresolved Write-In,1
Lehighton Borough - First Ward,RYAN E MACKENZIE (REP),498
Lehighton Borough - First Ward,SUSAN WILD (DEM),321
Lehighton Borough - First Ward,Unresolved Write-In,3
Lehighton Borough - Second Ward,RYAN E MACKENZIE (REP),448
Lehighton Borough - Second Ward,SUSAN WILD (DEM),288
Lehighton Borough - Second Ward,Unresolved Write-In,0
Lehighton Borough - Third Ward,RYAN E MACKENZIE (REP),527
Lehighton Borough - Third Ward,SUSAN WILD (DEM),317
Lehighton Borough - Third Ward,Unresolved Write-In,1
Lower Towamensing Township - North,RYAN E MACKENZIE (REP),760
Lower Towamensing Township - North,SUSAN WILD (DEM),285
Lower Towamensing Township - North,Unresolved Write-In,0
Lower Towamensing Township - South,RYAN E MACKENZIE (REP),522
Lower Towamensing Township - South,SUSAN WILD (DEM),228
Lower Towamensing Township - South,Unresolved Write-In,2
Mahoning Township - Mahoning,RYAN E MACKENZIE (REP),988
Mahoning Township - Mahoning,SUSAN WILD (DEM),424
Mahoning Township - Mahoning,Unresolved Write-In,0
Mahoning Township - New Mahoning,RYAN E MACKENZIE (REP),395
Mahoning Township - New Mahoning,SUSAN WILD (DEM),135
Mahoning Township - New Mahoning,Unresolved Write-In,0
Mahoning Township - Packerton/Jamestown,RYAN E MACKENZIE (REP),298
Mahoning Township - Packerton/Jamestown,SUSAN WILD (DEM),124
Mahoning Township - Packerton/Jamestown,Unresolved Write-In,1
Nesquehoning Borough - East,RYAN E MACKENZIE (REP),445
Nesquehoning Borough - East,SUSAN WILD (DEM),279
Nesquehoning Borough - East,Unresolved Write-In,1
Nesquehoning Borough - West,RYAN E MACKENZIE (REP),488
Nesquehoning Borough - West,SUSAN WILD (DEM),309
Nesquehoning Borough - West,Unresolved Write-In,0
Packer Township,RYAN E MACKENZIE (REP),503
Packer Township,SUSAN WILD (DEM),134
Packer Township,Unresolved Write-In,3
Palmerton Borough - East,RYAN E MACKENZIE (REP),592
Palmerton Borough - East,SUSAN WILD (DEM),281
Palmerton Borough - East,Unresolved Write-In,2
Palmerton Borough - Middle,RYAN E MACKENZIE (REP),782
Palmerton Borough - Middle,SUSAN WILD (DEM),467
Palmerton Borough - Middle,Unresolved Write-In,2
Palmerton Borough - West,RYAN E MACKENZIE (REP),278
Palmerton Borough - West,SUSAN WILD (DEM),136
Palmerton Borough - West,Unresolved Write-In,2
Parryville Borough,RYAN E MACKENZIE (REP),153
Parryville Borough,SUSAN WILD (DEM),68
Parryville Borough,Unresolved Write-In,1
Penn Forest Township - East,RYAN E MACKENZIE (REP),705
Penn Forest Township - East,SUSAN WILD (DEM),432
Penn Forest Township - East,Unresolved Write-In,0
Penn Forest Township - Middle,RYAN E MACKENZIE (REP),529
Penn Forest Township - Middle,SUSAN WILD (DEM),296
Penn Forest Township - Middle,Unresolved Write-In,0
Penn Forest Township - Northeast,RYAN E MACKENZIE (REP),791
Penn Forest Township - Northeast,SUSAN WILD (DEM),460
Penn Forest Township - Northeast,Unresolved Write-In,3
Penn Forest Township - Northwest,RYAN E MACKENZIE (REP),920
Penn Forest Township - Northwest,SUSAN WILD (DEM),425
Penn Forest Township - Northwest,Unresolved Write-In,2
Penn Forest Township - Southwest,RYAN E MACKENZIE (REP),692
Penn Forest Township - Southwest,SUSAN WILD (DEM),397
Penn Forest Township - Southwest,Unresolved Write-In,4
Summit Hill Borough - First Ward,RYAN E MACKENZIE (REP),212
Summit Hill Borough - First Ward,SUSAN WILD (DEM),175
Summit Hill Borough - First Ward,Unresolved Write-In,0
Summit Hill Borough - Second Ward,RYAN E MACKENZIE (REP),208
Summit Hill Borough - Second Ward,SUSAN WILD (DEM),184
Summit Hill Borough - Second Ward,Unresolved Write-In,1
Summit Hill Borough - Third Ward/First,RYAN E MACKENZIE (REP),296
Summit Hill Borough - Third Ward/First,SUSAN WILD (DEM),194
Summit Hill Borough - Third Ward/First,Unresolved Write-In,1
Summit Hill Borough - Third Ward/Second,RYAN E MACKENZIE (REP),192
Summit Hill Borough - Third Ward/Second,SUSAN WILD (DEM),102
Summit Hill Borough - Third Ward/Second,Unresolved Write-In,0
Towamensing Township - North,RYAN E MACKENZIE (REP),649
Towamensing Township - North,SUSAN WILD (DEM),298
Towamensing Township - North,Unresolved Write-In,1
Towamensing Township - South-1,RYAN E MACKENZIE (REP),710
Towamensing Township - South-1,SUSAN WILD (DEM),253
Towamensing Township - South-1,Unresolved Write-In,0
Towamensing Township - South-2,RYAN E MACKENZIE (REP),586
Towamensing Township - South-2,SUSAN WILD (DEM),238
Towamensing Township - South-2,Unresolved Write-In,1
Weatherly Borough - East,RYAN E MACKENZIE (REP),541
Weatherly Borough - East,SUSAN WILD (DEM),238
Weatherly Borough - East,Unresolved Write-In,6
Weatherly Borough - West,RYAN E MACKENZIE (REP),292
Weatherly Borough - West,SUSAN WILD (DEM),103
Weatherly Borough - West,Unresolved Write-In,3
Weissport Borough,RYAN E MACKENZIE (REP),99
Weissport Borough,SUSAN WILD (DEM),53
Weissport Borough,Unresolved Write-In,1
