precinct,candidate,votes
Lehighton Borough - Second Ward,DOYLE HEFFLEY (REP),585
Lehighton Borough - Third Ward,DOYLE HEFFLEY (REP),686
Lower Towamensing Township - North,DOYLE HEFFLEY (REP),895
Lower Towamensing Township - South,DOYLE HEFFLEY (REP),602
Mahoning Township - Mahoning,DOYLE HEFFLEY (REP),0
Mahoning Township - New Mahoning,DOYLE HEFFLEY (REP),452
Mahoning Township - Packerton/Jamestown,DOYLE HEFFLEY (REP),355
Nesquehoning Borough - East,DOYLE HEFFLEY (REP),551
Nesquehoning Borough - West,DOYLE HEFFLEY (REP),634
Packer Township,DOYLE HEFFLEY (REP),570
Palmerton Borough - East,DOYLE HEFFLEY (REP),738
Palmerton Borough - Middle,DOYLE HEFFLEY (REP),998
Palmerton Borough - West,DOYLE HEFFLEY (REP),356
Parryville Borough,DOYLE HEFFLEY (REP),186
Penn Forest Township - Southwest,DOYLE HEFFLEY (REP),872
Penn Forest Township - Northwest,DOYLE HEFFLEY (REP),0
Penn Forest Township - Middle,DOYLE HEFFLEY (REP),645
Penn Forest Township - Northeast,DOYLE HEFFLEY (REP),989
Penn Forest Township - East,DOYLE HEFFLEY (REP),827
Summit Hill Borough - First Ward,DOYLE HEFFLEY (REP),279
Summit Hill Borough - Second Ward,DOYLE HEFFLEY (REP),312
