precinct,candidate,votes
Banks Township,DOYLE HEFFLEY (REP),372
Beaver Meadows Borough,DOYLE HEFFLEY (REP),367
Bowmanstown Borough,DOYLE HEFFLEY (REP),384
East Penn Township - North,DOYLE HEFFLEY (REP),724
East Penn Township - South,DOYLE HEFFLEY (REP),738
East Side Borough,DOYLE HEFFLEY (REP),94
Franklin Township - Harrity,DOYLE HEFFLEY (REP),877
Franklin Township - Independent,DOYLE HEFFLEY (REP),527
Franklin Township - Long Run,DOYLE HEFFLEY (REP),738
Jim Thorpe Borough - Fifth Ward,DOYLE HEFFLEY (REP),484
Jim Thorpe Borough - First Ward,DOYLE HEFFLEY (REP),406
Jim Thorpe Borough - Fourth Ward,DOYLE HEFFLEY (REP),188
Jim Thorpe Borough - Second Ward,DOYLE HEFFLEY (REP),314
Jim Thorpe Borough - Third Ward,DOYLE HEFFLEY (REP),596
Kidder Township - North,DOYLE HEFFLEY (REP),248
Kidder Township - South,DOYLE HEFFLEY (REP),563
Lansford Borough - East,DOYLE HEFFLEY (REP),521
Lansford Borough - Middle,DOYLE HEFFLEY (REP),321
Lansford Borough - West,DOYLE HEFFLEY (REP),323
Lausanne Township,DOYLE HEFFLEY (REP),122
Lehigh Township,DOYLE HEFFLEY (REP),242
Lehighton Borough - First Ward,DOYLE HEFFLEY (REP),654
Lehighton Borough - Second Ward,DOYLE HEFFLEY (REP),585
Lehighton Borough - Third Ward,DOYLE HEFFLEY (REP),686
Lower Towamensing Township - North,DOYLE HEFFLEY (REP),895
Lower Towamensing Township - South,DOYLE HEFFLEY (REP),602
Mahoning Township - Mahoning,DOYLE HEFFLEY (REP),0
Mahoning Township - New Mahoning,DOYLE HEFFLEY (REP),452
Mahoning Township - Packerton/Jamestown,DOYLE HEFFLEY (REP),355
Nesquehoning Borough - East,DOYLE HEFFLEY (REP),551
Nesquehoning Borough - West,DOYLE HEFFLEY (REP),634
Packer Township,DOYLE HEFFLEY (REP),570
Palmerton Borough - East,DOYLE HEFFLEY (REP),738
Palmerton Borough - Middle,DOYLE HEFFLEY (REP),998
Palmerton Borough - West,DOYLE HEFFLEY (REP),356
Parryville Borough,DOYLE HEFFLEY (REP),186
Penn Forest Township - East,DOYLE HEFFLEY (REP),827
Penn Forest Township - Middle,DOYLE HEFFLEY (REP),645
Penn Forest Township - Northeast,DOYLE HEFFLEY (REP),989
Penn Forest Township - Northwest,DOYLE HEFFLEY (REP),0
Penn Forest Township - Southwest,DOYLE HEFFLEY (REP),872
Summit Hill Borough - First Ward,DOYLE HEFFLEY (REP),279
Summit Hill Borough - Second Ward,DOYLE HEFFLEY (REP),312
Summit Hill Borough - Third Ward/First,DOYLE HEFFLEY (REP),387
Summit Hill Borough - Third Ward/Second,DOYLE HEFFLEY (REP),237
Towamensing Township - North,DOYLE HEFFLEY (REP),756
Towamensing Township - South-1,DOYLE HEFFLEY (REP),810
Towamensing Township - South-2,DOYLE HEFFLEY (REP),682
Weatherly Borough - East,DOYLE HEFFLEY (REP),643
Weatherly Borough - West,DOYLE HEFFLEY (REP),328
Weissport Borough,DOYLE HEFFLEY (REP),129
