precinct,candidate,votes
Lehighton Borough - Second Ward,TIMOTHY HENNING (LIB),13
Lehighton Borough - Third Ward,TIMOTHY HENNING (LIB),22
Lower Towamensing Township - North,TIMOTHY HENNING (LIB),22
Lower Towamensing Township - South,TIMOTHY HENNING (LIB),17
Mahoning Township - Mahoning,TIMOTHY HENNING (LIB),25
Mahoning Township - New Mahoning,TIMOTHY HENNING (LIB),7
Mahoning Township - Packerton/Jamestown,TIMOTHY HENNING (LIB),18
Nesquehoning Borough - East,TIMOTHY HENNING (LIB),14
Nesquehoning Borough - West,TIMOTHY HENNING (LIB),18
Packer Township,TIMOTHY HENNING (LIB),5
Palmerton Borough - East,TIMOTHY HENNING (LIB),25
Palmerton Borough - Middle,TIMOTHY HENNING (LIB),25
Palmerton Borough - West,TIMOTHY HENNING (LIB),15
Parryville Borough,TIMOTHY HENNING (LIB),6
Penn Forest Township - Southwest,TIMOTHY HENNING (LIB),12
Penn Forest Township - Northwest,TIMOTHY HENNING (LIB),30
Penn Forest Township - Middle,TIMOTHY HENNING (LIB),22
Penn Forest Township - Northeast,TIMOTHY HENNING (LIB),28
Penn Forest Township - East,TIMOTHY HENNING (LIB),18
Summit Hill Borough - First Ward,TIMOTHY HENNING (LIB),5
Summit Hill Borough - Second Ward,TIMOTHY HENNING (LIB),8
