precinct,candidate,votes
Summit Hill Borough - Third Ward/First,NICKOLAS CIESIELSKI (LIB),10
Summit Hill Borough - Third Ward/First,TROY BOWMAN (CON),6
Summit Hill Borough - Third Ward/First,CHRIS FOSTER (FWD),3
Summit Hill Borough - Third Ward/Second,NICKOLAS CIESIELSKI (LIB),4
Summit Hill Borough - Third Ward/Second,TROY BOWMAN (CON),1
Summit Hill Borough - Third Ward/Second,CHRIS FOSTER (FWD),1
Towamensing Township - North,NICKOLAS CIESIELSKI (LIB),27
Towamensing Township - North,TROY BOWMAN (CON),4
Towamensing Township - North,CHRIS FOSTER (FWD),1
Towamensing Township - South-1,NICKOLAS CIESIELSKI (LIB),22
Towamensing Township - South-1,TROY BOWMAN (CON),14
Towamensing Township - South-1,CHRIS FOSTER (FWD),2
Towamensing Township - South-2,NICKOLAS CIESIELSKI (LIB),7
Towamensing Township - South-2,TROY BOWMAN (CON),8
Towamensing Township - South-2,CHRIS FOSTER (FWD),1
Weatherly Borough - East,NICKOLAS CIESIELSKI (LIB),15
Weatherly Borough - East,TROY BOWMAN (CON),4
Weatherly Borough - East,CHRIS FOSTER (FWD),4
Weatherly Borough - West,NICKOLAS CIESIELSKI (LIB),2
Weatherly Borough - West,TROY BOWMAN (CON),3
Weatherly Borough - West,CHRIS FOSTER (FWD),3
Weissport Borough,NICKOLAS CIESIELSKI (LIB),5
Weissport Borough,TROY BOWMAN (CON),1
Weissport Borough,CHRIS FOSTER (FWD),2
