precinct,candidate,votes
Banks Township,CHRIS FOSTER (FWD),3
Banks Township,ERIN MCCLELLAND (DEM),156
Banks Township,NICKOLAS CIESIELSKI (LIB),6
Banks Township,STACY GARRITY (REP),294
Banks Township,TROY BOWMAN (CON),3
Beaver Meadows Borough,CHRIS FOSTER (FWD),2
Beaver Meadows Borough,ERIN MCCLELLAND (DEM),98
Beaver Meadows Borough,NICKOLAS CIESIELSKI (LIB),8
Beaver Meadows Borough,STACY GARRITY (REP),309
Beaver Meadows Borough,TROY BOWMAN (CON),2
Bowmanstown Borough,CHRIS FOSTER (FWD),1
Bowmanstown Borough,ERIN MCCLELLAND (DEM),133
Bowmanstown Borough,NICKOLAS CIESIELSKI (LIB),5
Bowmanstown Borough,STACY GARRITY (REP),303
Bowmanstown Borough,TROY BOWMAN (CON),4
East Penn Township - North,CHRIS FOSTER (FWD),2
East Penn Township - North,ERIN MCCLELLAND (DEM),177
East Penn Township - North,NICKOLAS CIESIELSKI (LIB),13
East Penn Township - North,STACY GARRITY (REP),631
East Penn Township - North,TROY BOWMAN (CON),8
East Penn Township - South,CHRIS FOSTER (FWD),2
East Penn Township - South,ERIN MCCLELLAND (DEM),202
East Penn Township - South,NICKOLAS CIESIELSKI (LIB),9
East Penn Township - South,STACY GARRITY (REP),602
East Penn Township - South,TROY BOWMAN (CON),9
East Side Borough,CHRIS FOSTER (FWD),3
East Side Borough,ERIN MCCLELLAND (DEM),35
East Side Borough,NICKOLAS CIESIELSKI (LIB),2
East Side Borough,STACY GARRITY (REP),74
East Side Borough,TROY BOWMAN (CON),2
Franklin Township - Harrity,CHRIS FOSTER (FWD),3
Franklin Township - Harrity,ERIN MCCLELLAND (DEM),256
Franklin Township - Harrity,NICKOLAS CIESIELSKI (LIB),14
Franklin Township - Harrity,STACY GARRITY (REP),761
Franklin Township - Harrity,TROY BOWMAN (CON),9
Franklin Township - Independent,CHRIS FOSTER (FWD),3
Franklin Township - Independent,ERIN MCCLELLAND (DEM),150
Franklin Township - Independent,NICKOLAS CIESIELSKI (LIB),9
Franklin Township - Independent,STACY GARRITY (REP),437
Franklin Township - Independent,TROY BOWMAN (CON),9
Franklin Township - Long Run,CHRIS FOSTER (FWD),4
Franklin Township - Long Run,ERIN MCCLELLAND (DEM),197
Franklin Township - Long Run,NICKOLAS CIESIELSKI (LIB),10
Franklin Township - Long Run,STACY GARRITY (REP),627
Franklin Township - Long Run,TROY BOWMAN (CON),7
Jim Thorpe Borough - Fifth Ward,CHRIS FOSTER (FWD),3
Jim Thorpe Borough - Fifth Ward,ERIN MCCLELLAND (DEM),257
Jim Thorpe Borough - Fifth Ward,NICKOLAS CIESIELSKI (LIB),13
Jim Thorpe Borough - Fifth Ward,STACY GARRITY (REP),344
Jim Thorpe Borough - Fifth Ward,TROY BOWMAN (CON),5
Jim Thorpe Borough - First Ward,CHRIS FOSTER (FWD),3
Jim Thorpe Borough - First Ward,ERIN MCCLELLAND (DEM),207
Jim Thorpe Borough - First Ward,NICKOLAS CIESIELSKI (LIB),12
Jim Thorpe Borough - First Ward,STACY GARRITY (REP),276
Jim Thorpe Borough - First Ward,TROY BOWMAN (CON),4
Jim Thorpe Borough - Fourth Ward,CHRIS FOSTER (FWD),2
Jim Thorpe Borough - Fourth Ward,ERIN MCCLELLAND (DEM),127
Jim Thorpe Borough - Fourth Ward,NICKOLAS CIESIELSKI (LIB),4
Jim Thorpe Borough - Fourth Ward,STACY GARRITY (REP),134
Jim Thorpe Borough - Fourth Ward,TROY BOWMAN (CON),6
Jim Thorpe Borough - Second Ward,CHRIS FOSTER (FWD),3
Jim Thorpe Borough - Second Ward,ERIN MCCLELLAND (DEM),145
Jim Thorpe Borough - Second Ward,NICKOLAS CIESIELSKI (LIB),7
Jim Thorpe Borough - Second Ward,STACY GARRITY (REP),224
Jim Thorpe Borough - Second Ward,TROY BOWMAN (CON),5
Jim Thorpe Borough - Third Ward,CHRIS FOSTER (FWD),4
Jim Thorpe Borough - Third Ward,ERIN MCCLELLAND (DEM),253
Jim Thorpe Borough - Third Ward,NICKOLAS CIESIELSKI (LIB),6
Jim Thorpe Borough - Third Ward,STACY GARRITY (REP),473
Jim Thorpe Borough - Third Ward,TROY BOWMAN (CON),3
Kidder Township - North,CHRIS FOSTER (FWD),1
Kidder Township - North,ERIN MCCLELLAND (DEM),116
Kidder Township - North,NICKOLAS CIESIELSKI (LIB),4
Kidder Township - North,STACY GARRITY (REP),200
Kidder Township - North,TROY BOWMAN (CON),0
Kidder Township - South,CHRIS FOSTER (FWD),2
Kidder Township - South,ERIN MCCLELLAND (DEM),200
Kidder Township - South,NICKOLAS CIESIELSKI (LIB),14
Kidder Township - South,STACY GARRITY (REP),480
Kidder Township - South,TROY BOWMAN (CON),8
Lansford Borough - East,CHRIS FOSTER (FWD),7
Lansford Borough - East,ERIN MCCLELLAND (DEM),217
Lansford Borough - East,NICKOLAS CIESIELSKI (LIB),13
Lansford Borough - East,STACY GARRITY (REP),390
Lansford Borough - East,TROY BOWMAN (CON),7
Lansford Borough - Middle,CHRIS FOSTER (FWD),2
Lansford Borough - Middle,ERIN MCCLELLAND (DEM),138
Lansford Borough - Middle,NICKOLAS CIESIELSKI (LIB),4
Lansford Borough - Middle,STACY GARRITY (REP),241
Lansford Borough - Middle,TROY BOWMAN (CON),3
Lansford Borough - West,CHRIS FOSTER (FWD),4
Lansford Borough - West,ERIN MCCLELLAND (DEM),152
Lansford Borough - West,NICKOLAS CIESIELSKI (LIB),7
Lansford Borough - West,STACY GARRITY (REP),227
Lansford Borough - West,TROY BOWMAN (CON),8
Lausanne Township,CHRIS FOSTER (FWD),0
Lausanne Township,ERIN MCCLELLAND (DEM),33
Lausanne Township,NICKOLAS CIESIELSKI (LIB),2
Lausanne Township,STACY GARRITY (REP),108
Lausanne Township,TROY BOWMAN (CON),1
Lehigh Township,CHRIS FOSTER (FWD),0
Lehigh Township,ERIN MCCLELLAND (DEM),40
Lehigh Township,NICKOLAS CIESIELSKI (LIB),6
Lehigh Township,STACY GARRITY (REP),222
Lehigh Township,TROY BOWMAN (CON),1
Lehighton Borough - First Ward,CHRIS FOSTER (FWD),3
Lehighton Borough - First Ward,ERIN MCCLELLAND (DEM),274
Lehighton Borough - First Ward,NICKOLAS CIESIELSKI (LIB),15
Lehighton Borough - First Ward,STACY GARRITY (REP),501
Lehighton Borough - First Ward,TROY BOWMAN (CON),7
Lehighton Borough - Second Ward,CHRIS FOSTER (FWD),2
Lehighton Borough - Second Ward,ERIN MCCLELLAND (DEM),269
Lehighton Borough - Second Ward,NICKOLAS CIESIELSKI (LIB),10
Lehighton Borough - Second Ward,STACY GARRITY (REP),439
Lehighton Borough - Second Ward,TROY BOWMAN (CON),3
Lehighton Borough - Third Ward,CHRIS FOSTER (FWD),1
Lehighton Borough - Third Ward,ERIN MCCLELLAND (DEM),280
Lehighton Borough - Third Ward,NICKOLAS CIESIELSKI (LIB),13
Lehighton Borough - Third Ward,STACY GARRITY (REP),525
Lehighton Borough - Third Ward,TROY BOWMAN (CON),7
Lower Towamensing Township - North,CHRIS FOSTER (FWD),0
Lower Towamensing Township - North,ERIN MCCLELLAND (DEM),259
Lower Towamensing Township - North,NICKOLAS CIESIELSKI (LIB),14
Lower Towamensing Township - North,STACY GARRITY (REP),760
Lower Towamensing Township - North,TROY BOWMAN (CON),5
Lower Towamensing Township - South,CHRIS FOSTER (FWD),2
Lower Towamensing Township - South,ERIN MCCLELLAND (DEM),203
Lower Towamensing Township - South,NICKOLAS CIESIELSKI (LIB),7
Lower Towamensing Township - South,STACY GARRITY (REP),521
Lower Towamensing Township - South,TROY BOWMAN (CON),11
Mahoning Township - Mahoning,CHRIS FOSTER (FWD),5
Mahoning Township - Mahoning,ERIN MCCLELLAND (DEM),376
Mahoning Township - Mahoning,NICKOLAS CIESIELSKI (LIB),19
Mahoning Township - Mahoning,STACY GARRITY (REP),982
Mahoning Township - Mahoning,TROY BOWMAN (CON),14
Mahoning Township - New Mahoning,CHRIS FOSTER (FWD),0
Mahoning Township - New Mahoning,ERIN MCCLELLAND (DEM),117
Mahoning Township - New Mahoning,NICKOLAS CIESIELSKI (LIB),3
Mahoning Township - New Mahoning,STACY GARRITY (REP),388
Mahoning Township - New Mahoning,TROY BOWMAN (CON),4
Mahoning Township - Packerton/Jamestown,CHRIS FOSTER (FWD),2
Mahoning Township - Packerton/Jamestown,ERIN MCCLELLAND (DEM),116
Mahoning Township - Packerton/Jamestown,NICKOLAS CIESIELSKI (LIB),4
Mahoning Township - Packerton/Jamestown,STACY GARRITY (REP),290
