precinct,candidate,votes
Banks Township,JOHN C THOMAS (LIB),9
Banks Township,LEILA HAZOU (GRN),5
Banks Township,MARTY SELKER (CON),1
Beaver Meadows Borough,JOHN C THOMAS (LIB),12
Beaver Meadows Borough,LEILA HAZOU (GRN),3
Beaver Meadows Borough,MARTY SELKER (CON),2
Bowmanstown Borough,JOHN C THOMAS (LIB),5
Bowmanstown Borough,LEILA HAZOU (GRN),2
Bowmanstown Borough,MARTY SELKER (CON),1
East Penn Township - South,JOHN C THOMAS (LIB),10
East Penn Township - South,LEILA HAZOU (GRN),3
East Penn Township - South,MARTY SELKER (CON),0
East Penn Township - North,JOHN C THOMAS (LIB),10
East Penn Township - North,LEILA HAZOU (GRN),6
East Penn Township - North,MARTY SELKER (CON),1
East Side Borough,JOHN C THOMAS (LIB),4
East Side Borough,LEILA HAZOU (GRN),2
East Side Borough,MARTY SELKER (CON),1
Franklin Township - Independent,JOHN C THOMAS (LIB),9
Franklin Township - Independent,LEILA HAZOU (GRN),2
Franklin Township - Independent,MARTY SELKER (CON),2
Franklin Township - Harrity,JOHN C THOMAS (LIB),16
Franklin Township - Harrity,LEILA HAZOU (GRN),5
Franklin Township - Harrity,MARTY SELKER (CON),3
Franklin Township - Long Run,JOHN C THOMAS (LIB),3
Franklin Township - Long Run,LEILA HAZOU (GRN),6
Franklin Township - Long Run,MARTY SELKER (CON),5
Jim Thorpe Borough - First Ward,JOHN C THOMAS (LIB),12
Jim Thorpe Borough - First Ward,LEILA HAZOU (GRN),6
Jim Thorpe Borough - First Ward,MARTY SELKER (CON),5
Jim Thorpe Borough - Second Ward,JOHN C THOMAS (LIB),8
Jim Thorpe Borough - Second Ward,LEILA HAZOU (GRN),2
Jim Thorpe Borough - Second Ward,MARTY SELKER (CON),1
Jim Thorpe Borough - Third Ward,JOHN C THOMAS (LIB),12
Jim Thorpe Borough - Third Ward,LEILA HAZOU (GRN),7
Jim Thorpe Borough - Third Ward,MARTY SELKER (CON),2
Jim Thorpe Borough - Fourth Ward,JOHN C THOMAS (LIB),4
Jim Thorpe Borough - Fourth Ward,LEILA HAZOU (GRN),7
Jim Thorpe Borough - Fourth Ward,MARTY SELKER (CON),2
Jim Thorpe Borough - Fifth Ward,JOHN C THOMAS (LIB),10
Jim Thorpe Borough - Fifth Ward,LEILA HAZOU (GRN),3
Jim Thorpe Borough - Fifth Ward,MARTY SELKER (CON),0
Kidder Township - North,JOHN C THOMAS (LIB),3
Kidder Township - North,LEILA HAZOU (GRN),0
Kidder Township - North,MARTY SELKER (CON),1
Kidder Township - South,JOHN C THOMAS (LIB),9
Kidder Township - South,LEILA HAZOU (GRN),6
Kidder Township - South,MARTY SELKER (CON),3
Lansford Borough - East,JOHN C THOMAS (LIB),12
Lansford Borough - East,LEILA HAZOU (GRN),9
Lansford Borough - East,MARTY SELKER (CON),8
Lansford Borough - Middle,JOHN C THOMAS (LIB),10
Lansford Borough - Middle,LEILA HAZOU (GRN),5
Lansford Borough - Middle,MARTY SELKER (CON),1
Lansford Borough - West,JOHN C THOMAS (LIB),12
Lansford Borough - West,LEILA HAZOU (GRN),4
Lansford Borough - West,MARTY SELKER (CON),2
Lausanne Township,JOHN C THOMAS (LIB),2
Lausanne Township,LEILA HAZOU (GRN),4
Lausanne Township,MARTY SELKER (CON),0
Lehigh Township,JOHN C THOMAS (LIB),2
Lehigh Township,LEILA HAZOU (GRN),4
Lehigh Township,MARTY SELKER (CON),1
Lehighton Borough - First Ward,JOHN C THOMAS (LIB),11
Lehighton Borough - First Ward,LEILA HAZOU (GRN),9
Lehighton Borough - First Ward,MARTY SELKER (CON),2
