precinct,candidate,votes
Banks Township,DAVE MCCORMICK (REP),295
Banks Township,JOHN C THOMAS (LIB),9
Banks Township,LEILA HAZOU (GRN),5
Banks Township,MARTY SELKER (CON),1
Banks Township,ROBERT P CASEY JR (DEM),168
Beaver Meadows Borough,DAVE MCCORMICK (REP),289
Beaver Meadows Borough,JOHN C THOMAS (LIB),12
Beaver Meadows Borough,LEILA HAZOU (GRN),3
Beaver Meadows Borough,MARTY SELKER (CON),2
Beaver Meadows Borough,ROBERT P CASEY JR (DEM),118
Bowmanstown Borough,DAVE MCCORMICK (REP),300
Bowmanstown Borough,JOHN C THOMAS (LIB),5
Bowmanstown Borough,LEILA HAZOU (GRN),2
Bowmanstown Borough,MARTY SELKER (CON),1
Bowmanstown Borough,ROBERT P CASEY JR (DEM),146
East Penn Township - North,DAVE MCCORMICK (REP),628
East Penn Township - North,JOHN C THOMAS (LIB),10
East Penn Township - North,LEILA HAZOU (GRN),6
East Penn Township - North,MARTY SELKER (CON),1
East Penn Township - North,ROBERT P CASEY JR (DEM),207
East Penn Township - South,DAVE MCCORMICK (REP),596
East Penn Township - South,JOHN C THOMAS (LIB),10
East Penn Township - South,LEILA HAZOU (GRN),3
East Penn Township - South,MARTY SELKER (CON),0
East Penn Township - South,ROBERT P CASEY JR (DEM),226
East Side Borough,DAVE MCCORMICK (REP),72
East Side Borough,JOHN C THOMAS (LIB),4
East Side Borough,LEILA HAZOU (GRN),2
East Side Borough,MARTY SELKER (CON),1
East Side Borough,ROBERT P CASEY JR (DEM),40
Franklin Township - Harrity,DAVE MCCORMICK (REP),752
Franklin Township - Harrity,JOHN C THOMAS (LIB),16
Franklin Township - Harrity,LEILA HAZOU (GRN),5
Franklin Township - Harrity,MARTY SELKER (CON),3
Franklin Township - Harrity,ROBERT P CASEY JR (DEM),293
Franklin Township - Independent,DAVE MCCORMICK (REP),439
Franklin Township - Independent,JOHN C THOMAS (LIB),9
Franklin Township - Independent,LEILA HAZOU (GRN),2
Franklin Township - Independent,MARTY SELKER (CON),2
Franklin Township - Independent,ROBERT P CASEY JR (DEM),173
Franklin Township - Long Run,DAVE MCCORMICK (REP),615
Franklin Township - Long Run,JOHN C THOMAS (LIB),3
Franklin Township - Long Run,LEILA HAZOU (GRN),6
Franklin Township - Long Run,MARTY SELKER (CON),5
Franklin Township - Long Run,ROBERT P CASEY JR (DEM),231
