election,state,county,precinct,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,Election Day,377,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,Mail,173,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,KAMALA D HARRIS,DEM,Provisional,5,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,Election Day,268,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,Mail,74,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,DONALD J TRUMP,REP,Provisional,2,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,Election Day,6,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,Mail,0,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,CHASE OLIVER,LIB,Provisional,0,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,Election Day,0,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,Mail,3,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,JILL STEIN,GRN,Provisional,0,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
2024 GENERAL,PENNSYLVANIA,CUMBERLAND COUNTY,CAMP HILL 1,PRESIDENTIAL ELECTORS,Totals,Write-In,Election Day,3,no,OFFICIAL,https://www.cumberlandcountypa.gov/DocumentCenter/View/52475/Official-Precinct-Report,cumberland_cleaned.txt,11/19/2024 08:53AM
