election,state,county,precinct,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Presidential Electors,Harris and Walz,DEM,Total,624,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Presidential Electors,Trump and Vance,REP,Total,737,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Presidential Electors,Oliver and ter Maat,LIB,Total,3,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Presidential Electors,Stein and Ware,GRN,Total,22,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,United States Senator,Robert P Casey Jr,DEM,Total,609,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,United States Senator,Dave McCormick,REP,Total,697,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,United States Senator,John C Thomas,LIB,Total,26,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,United States Senator,Leila Hazou,GRN,Total,42,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,United States Senator,Marty Selker,CST,Total,8,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Attorney General,Eugene DePasquale,DEM,Total,580,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Attorney General,Dave Sunday,REP,Total,729,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Attorney General,Robert Cowburn,LIB,Total,16,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Attorney General,Richard L Weiss,GRN,Total,35,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Attorney General,Justin L Magill,CST,Total,5,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Attorney General,Eric L Settle,FWD,Total,2,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Auditor General,Malcolm Kenyatta,DEM,Total,590,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Auditor General,Tim DeFoor,REP,Total,709,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Auditor General,Reece Smith,LIB,Total,33,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Auditor General,Eric K Anton,ASP,Total,8,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Auditor General,Bob Goodrich,CST,Total,11,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,State Treasurer,Erin McClelland,DEM,Total,598,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,State Treasurer,Stacy Garrity,REP,Total,722,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,State Treasurer,Nickolas Ciesielski,LIB,Total,20,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,State Treasurer,Troy Bowman,CST,Total,8,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,State Treasurer,Chris Foster,FWD,Total,7,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Representative in Congress in the 7th Congressional Dist,Susan Wild,DEM,Total,601,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Representative in Congress in the 7th Congressional Dist,Ryan E Mackenzie,REP,Total,766,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Representative in the General Assembly in the 187th Legi,Stefanie Rafes,DEM,Total,636,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Alburtis- 0068,Representative in the General Assembly in the 187th Legi,Gary Day,REP,Total,713,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Presidential Electors,Harris and Walz,DEM,Total,471,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Presidential Electors,Trump and Vance,REP,Total,207,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Presidential Electors,Oliver and ter Maat,LIB,Total,4,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,Presidential Electors,Stein and Ware,GRN,Total,3,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,United States Senator,Robert P Casey Jr,DEM,Total,399,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,United States Senator,Dave McCormick,REP,Total,164,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
2024 GENERAL,PENNSYLVANIA,LEHIGH COUNTY,Allentown 10th Ward 1st Dist- 0017,United States Senator,John C Thomas,LIB,Total,12,no,OFFICIAL,https://www.livevoterturnout.com/ENR/lehighpaenr/8/en/Index_8.html,precincts_8.csv,12/7/2024 10:39PM
