precinct,method,candidate,votes
Ambler 1,Election Day,EUGENE DEPASQUALE(DEM),****
Ambler 1,Election Day,DAVE SUNDAY(REP),****
Ambler 1,Mail-in,EUGENE DEPASQUALE(DEM),****
Ambler 1,Mail-in,DAVE SUNDAY(REP),****
Ambler 1,Provisional,EUGENE DEPASQUALE(DEM),****
Ambler 1,Provisional,DAVE SUNDAY(REP),****
Ambler 1,Total,EUGENE DEPASQUALE(DEM),826
Ambler 1,Total,DAVE SUNDAY(REP),421
Ambler 2,Election Day,EUGENE DEPASQUALE(DEM),605
Ambler 2,Election Day,DAVE SUNDAY(REP),326
Ambler 2,Mail-in,EUGENE DEPASQUALE(DEM),274
Ambler 2,Mail-in,DAVE SUNDAY(REP),62
Ambler 2,Provisional,EUGENE DEPASQUALE(DEM),9
Ambler 2,Provisional,DAVE SUNDAY(REP),3
Ambler 2,Total,EUGENE DEPASQUALE(DEM),888
Ambler 2,Total,DAVE SUNDAY(REP),391
Ambler 3,Election Day,EUGENE DEPASQUALE(DEM),****
Ambler 3,Election Day,DAVE SUNDAY(REP),****
Ambler 3,Mail-in,EUGENE DEPASQUALE(DEM),****
Ambler 3,Mail-in,DAVE SUNDAY(REP),****
Ambler 3,Provisional,EUGENE DEPASQUALE(DEM),****
Ambler 3,Provisional,DAVE SUNDAY(REP),****
Ambler 3,Total,EUGENE DEPASQUALE(DEM),758
Ambler 3,Total,DAVE SUNDAY(REP),337
Bridgeport 1,Election Day,EUGENE DEPASQUALE(DEM),****
Bridgeport 1,Election Day,DAVE SUNDAY(REP),****
Bridgeport 1,Mail-in,EUGENE DEPASQUALE(DEM),****
Bridgeport 1,Mail-in,DAVE SUNDAY(REP),****
Bridgeport 1,Provisional,EUGENE DEPASQUALE(DEM),****
Bridgeport 1,Provisional,DAVE SUNDAY(REP),****
Bridgeport 1,Total,EUGENE DEPASQUALE(DEM),389
Bridgeport 1,Total,DAVE SUNDAY(REP),215
Bridgeport 2,Election Day,EUGENE DEPASQUALE(DEM),****
Bridgeport 2,Election Day,DAVE SUNDAY(REP),****
Bridgeport 2,Mail-in,EUGENE DEPASQUALE(DEM),****
Bridgeport 2,Mail-in,DAVE SUNDAY(REP),****
Bridgeport 2,Provisional,EUGENE DEPASQUALE(DEM),****
Bridgeport 2,Provisional,DAVE SUNDAY(REP),****
Bridgeport 2,Total,EUGENE DEPASQUALE(DEM),439
Bridgeport 2,Total,DAVE SUNDAY(REP),393
Hatfield Borough,Election Day,ROBERT COWBURN(LIB),****
Hatfield Borough,Election Day,RICHARD L WEISS(GRE),****
Hatfield Borough,Election Day,JUSTIN L MAGILL(CON),****
Hatfield Borough,Election Day,ERIC L SETTLE(FOR),****
Hatfield Borough,Election Day,Unresolved Write-In,****
Hatfield Borough,Mail-in,ROBERT COWBURN(LIB),****
Hatfield Borough,Mail-in,RICHARD L WEISS(GRE),****
Hatfield Borough,Mail-in,JUSTIN L MAGILL(CON),****
Hatfield Borough,Mail-in,ERIC L SETTLE(FOR),****
Hatfield Borough,Mail-in,Unresolved Write-In,****
Hatfield Borough,Provisional,ROBERT COWBURN(LIB),****
Hatfield Borough,Provisional,RICHARD L WEISS(GRE),****
Hatfield Borough,Provisional,JUSTIN L MAGILL(CON),****
Hatfield Borough,Provisional,ERIC L SETTLE(FOR),****
Hatfield Borough,Provisional,Unresolved Write-In,****
Hatfield Borough,Total,ROBERT COWBURN(LIB),31
Hatfield Borough,Total,RICHARD L WEISS(GRE),30
Hatfield Borough,Total,JUSTIN L MAGILL(CON),9
Hatfield Borough,Total,ERIC L SETTLE(FOR),8
Hatfield Borough,Total,Unresolved Write-In,2
Jenkintown 1,Election Day,ROBERT COWBURN(LIB),****
Jenkintown 1,Election Day,RICHARD L WEISS(GRE),****
Jenkintown 1,Election Day,JUSTIN L MAGILL(CON),****
Jenkintown 1,Election Day,ERIC L SETTLE(FOR),****
Jenkintown 1,Election Day,Unresolved Write-In,****
Jenkintown 1,Mail-in,ROBERT COWBURN(LIB),****
Jenkintown 1,Mail-in,RICHARD L WEISS(GRE),****
Jenkintown 1,Mail-in,JUSTIN L MAGILL(CON),****
Jenkintown 1,Mail-in,ERIC L SETTLE(FOR),****
Jenkintown 1,Mail-in,Unresolved Write-In,****
Jenkintown 1,Provisional,ROBERT COWBURN(LIB),****
Jenkintown 1,Provisional,RICHARD L WEISS(GRE),****
Jenkintown 1,Provisional,JUSTIN L MAGILL(CON),****
Jenkintown 1,Provisional,ERIC L SETTLE(FOR),****
Jenkintown 1,Provisional,Unresolved Write-In,****
Jenkintown 1,Total,ROBERT COWBURN(LIB),12
Jenkintown 1,Total,RICHARD L WEISS(GRE),9
Jenkintown 1,Total,JUSTIN L MAGILL(CON),1
Jenkintown 1,Total,ERIC L SETTLE(FOR),6
Jenkintown 1,Total,Unresolved Write-In,1
Jenkintown 2,Election Day,ROBERT COWBURN(LIB),****
Jenkintown 2,Election Day,RICHARD L WEISS(GRE),****
Jenkintown 2,Election Day,JUSTIN L MAGILL(CON),****
Jenkintown 2,Election Day,ERIC L SETTLE(FOR),****
Jenkintown 2,Election Day,Unresolved Write-In,****
Jenkintown 2,Mail-in,ROBERT COWBURN(LIB),****
Jenkintown 2,Mail-in,RICHARD L WEISS(GRE),****
Jenkintown 2,Mail-in,JUSTIN L MAGILL(CON),****
Jenkintown 2,Mail-in,ERIC L SETTLE(FOR),****
Jenkintown 2,Mail-in,Unresolved Write-In,****
Jenkintown 2,Provisional,ROBERT COWBURN(LIB),****
Jenkintown 2,Provisional,RICHARD L WEISS(GRE),****
Jenkintown 2,Provisional,JUSTIN L MAGILL(CON),****
Jenkintown 2,Provisional,ERIC L SETTLE(FOR),****
Jenkintown 2,Provisional,Unresolved Write-In,****
Jenkintown 2,Total,ROBERT COWBURN(LIB),12
Jenkintown 2,Total,RICHARD L WEISS(GRE),11
Jenkintown 2,Total,JUSTIN L MAGILL(CON),3
Jenkintown 2,Total,ERIC L SETTLE(FOR),3
Jenkintown 2,Total,Unresolved Write-In,2
Jenkintown 3,Election Day,ROBERT COWBURN(LIB),****
Jenkintown 3,Election Day,RICHARD L WEISS(GRE),****
Jenkintown 3,Election Day,JUSTIN L MAGILL(CON),****
Jenkintown 3,Election Day,ERIC L SETTLE(FOR),****
Jenkintown 3,Election Day,Unresolved Write-In,****
Jenkintown 3,Mail-in,ROBERT COWBURN(LIB),****
Jenkintown 3,Mail-in,RICHARD L WEISS(GRE),****
Jenkintown 3,Mail-in,JUSTIN L MAGILL(CON),****
Jenkintown 3,Mail-in,ERIC L SETTLE(FOR),****
Jenkintown 3,Mail-in,Unresolved Write-In,****
Jenkintown 3,Provisional,ROBERT COWBURN(LIB),****
Jenkintown 3,Provisional,RICHARD L WEISS(GRE),****
Jenkintown 3,Provisional,JUSTIN L MAGILL(CON),****
