0,1,2
Precinct,Times Cast,"Registered 
Voters"
Abington 3-1,,
Election Day,530,858
Mail-in,203,858
Provisional,4,858
Total,737,858
Abington 3-2,,
Election Day,707,"1,123"
Mail-in,234,"1,123"
Provisional,5,"1,123"
Total,946,"1,123"
Abington 3-3,,
Election Day,733,"1,274"
Mail-in,357,"1,274"
Provisional,5,"1,274"
Total,"1,095","1,274"
Abington 4-1,,
Election Day,939,"1,724"
Mail-in,474,"1,724"
Provisional,17,"1,724"
Total,"1,430","1,724"
Abington 4-2,,
Election Day,684,"1,177"
Mail-in,339,"1,177"
Provisional,10,"1,177"
Total,"1,033","1,177"
Abington 5-1,,
Election Day,714,"1,301"
Mail-in,240,"1,301"
Provisional,17,"1,301"
Total,971,"1,301"
