precinct,method,candidate,votes
Upper Providence Trappe,Election Day,KAMALA D HARRIS(DEM),893
Upper Providence Trappe,Election Day,DONALD J TRUMP(REP),"1,164"
Upper Providence Trappe,Mail-in,KAMALA D HARRIS(DEM),"1,033"
Upper Providence Trappe,Mail-in,DONALD J TRUMP(REP),655
Upper Providence Trappe,Provisional,KAMALA D HARRIS(DEM),12
Upper Providence Trappe,Provisional,DONALD J TRUMP(REP),6
Upper Providence Trappe,Total,KAMALA D HARRIS(DEM),"1,938"
Upper Providence Trappe,Total,DONALD J TRUMP(REP),"1,825"
Upper Salford,Election Day,KAMALA D HARRIS(DEM),507
Upper Salford,Election Day,DONALD J TRUMP(REP),937
Upper Salford,Mail-in,KAMALA D HARRIS(DEM),369
Upper Salford,Mail-in,DONALD J TRUMP(REP),258
Upper Salford,Provisional,KAMALA D HARRIS(DEM),6
Upper Salford,Provisional,DONALD J TRUMP(REP),9
Upper Salford,Total,KAMALA D HARRIS(DEM),882
Upper Salford,Total,DONALD J TRUMP(REP),"1,204"
West Norriton 1-1,Election Day,KAMALA D HARRIS(DEM),581
West Norriton 1-1,Election Day,DONALD J TRUMP(REP),594
West Norriton 1-1,Mail-in,KAMALA D HARRIS(DEM),409
West Norriton 1-1,Mail-in,DONALD J TRUMP(REP),175
West Norriton 1-1,Provisional,KAMALA D HARRIS(DEM),10
West Norriton 1-1,Provisional,DONALD J TRUMP(REP),11
West Norriton 1-1,Total,KAMALA D HARRIS(DEM),"1,000"
West Norriton 1-1,Total,DONALD J TRUMP(REP),780
West Norriton 1-2,Election Day,KAMALA D HARRIS(DEM),318
West Norriton 1-2,Election Day,DONALD J TRUMP(REP),285
West Norriton 1-2,Mail-in,KAMALA D HARRIS(DEM),212
West Norriton 1-2,Mail-in,DONALD J TRUMP(REP),57
West Norriton 1-2,Provisional,KAMALA D HARRIS(DEM),0
West Norriton 1-2,Provisional,DONALD J TRUMP(REP),0
West Norriton 1-2,Total,KAMALA D HARRIS(DEM),530
West Norriton 1-2,Total,DONALD J TRUMP(REP),342
West Norriton 2-1,Election Day,KAMALA D HARRIS(DEM),407
West Norriton 2-1,Election Day,DONALD J TRUMP(REP),385
West Norriton 2-1,Mail-in,KAMALA D HARRIS(DEM),275
West Norriton 2-1,Mail-in,DONALD J TRUMP(REP),88
West Norriton 2-1,Provisional,KAMALA D HARRIS(DEM),6
West Norriton 2-1,Provisional,DONALD J TRUMP(REP),5
West Norriton 2-1,Total,KAMALA D HARRIS(DEM),688
West Norriton 2-1,Total,DONALD J TRUMP(REP),478
West Norriton 2-2,Election Day,KAMALA D HARRIS(DEM),****
West Norriton 2-2,Election Day,DONALD J TRUMP(REP),****
West Norriton 2-2,Mail-in,KAMALA D HARRIS(DEM),****
West Norriton 2-2,Mail-in,DONALD J TRUMP(REP),****
West Norriton 2-2,Provisional,KAMALA D HARRIS(DEM),****
West Norriton 2-2,Provisional,DONALD J TRUMP(REP),****
West Norriton 2-2,Total,KAMALA D HARRIS(DEM),566
West Norriton 2-2,Total,DONALD J TRUMP(REP),286
