precinct,method,candidate,votes
Ambler 1,Election Day,KAMALA D HARRIS(DEM),****
Ambler 1,Election Day,DONALD J TRUMP(REP),****
Ambler 1,Mail-in,KAMALA D HARRIS(DEM),****
Ambler 1,Mail-in,DONALD J TRUMP(REP),****
Ambler 1,Provisional,KAMALA D HARRIS(DEM),****
Ambler 1,Provisional,DONALD J TRUMP(REP),****
Ambler 1,Total,KAMALA D HARRIS(DEM),916
Ambler 1,Total,DONALD J TRUMP(REP),379
Ambler 2,Election Day,KAMALA D HARRIS(DEM),640
Ambler 2,Election Day,DONALD J TRUMP(REP),320
Ambler 2,Mail-in,KAMALA D HARRIS(DEM),295
Ambler 2,Mail-in,DONALD J TRUMP(REP),61
Ambler 2,Provisional,KAMALA D HARRIS(DEM),9
Ambler 2,Provisional,DONALD J TRUMP(REP),3
Ambler 2,Total,KAMALA D HARRIS(DEM),944
Ambler 2,Total,DONALD J TRUMP(REP),384
Ambler 3,Election Day,KAMALA D HARRIS(DEM),****
Ambler 3,Election Day,DONALD J TRUMP(REP),****
Ambler 3,Mail-in,KAMALA D HARRIS(DEM),****
Ambler 3,Mail-in,DONALD J TRUMP(REP),****
Ambler 3,Provisional,KAMALA D HARRIS(DEM),****
Ambler 3,Provisional,DONALD J TRUMP(REP),****
Ambler 3,Total,KAMALA D HARRIS(DEM),805
Ambler 3,Total,DONALD J TRUMP(REP),347
Bridgeport 1,Election Day,KAMALA D HARRIS(DEM),****
Bridgeport 1,Election Day,DONALD J TRUMP(REP),****
Bridgeport 1,Mail-in,KAMALA D HARRIS(DEM),****
Bridgeport 1,Mail-in,DONALD J TRUMP(REP),****
Bridgeport 1,Provisional,KAMALA D HARRIS(DEM),****
Bridgeport 1,Provisional,DONALD J TRUMP(REP),****
Bridgeport 1,Total,KAMALA D HARRIS(DEM),416
Bridgeport 1,Total,DONALD J TRUMP(REP),216
Bridgeport 2,Election Day,KAMALA D HARRIS(DEM),****
Bridgeport 2,Election Day,DONALD J TRUMP(REP),****
Bridgeport 2,Mail-in,KAMALA D HARRIS(DEM),****
Bridgeport 2,Mail-in,DONALD J TRUMP(REP),****
Bridgeport 2,Provisional,KAMALA D HARRIS(DEM),****
Bridgeport 2,Provisional,DONALD J TRUMP(REP),****
Bridgeport 2,Total,KAMALA D HARRIS(DEM),488
Bridgeport 2,Total,DONALD J TRUMP(REP),381
Bridgeport 3,Election Day,Christin Powers (Qualified Write In),0
Bridgeport 3,Election Day,Richard Root (Qualified Write In),0
Bridgeport 3,Election Day,Suzie Scott (Qualified Write In),0
Bridgeport 3,Election Day,Edward Shlikas (Qualified Write In),0
Bridgeport 3,Election Day,Christopher Stried (Qualified Write In),0
Bridgeport 3,Election Day,Alix C. Toulme Jr. (Qualified Write In),0
Bridgeport 3,Election Day,Unresolved Write-In,5
Bridgeport 3,Mail-in,Christin Powers (Qualified Write In),0
Bridgeport 3,Mail-in,Richard Root (Qualified Write In),0
Bridgeport 3,Mail-in,Suzie Scott (Qualified Write In),0
Bridgeport 3,Mail-in,Edward Shlikas (Qualified Write In),0
Bridgeport 3,Mail-in,Christopher Stried (Qualified Write In),0
Bridgeport 3,Mail-in,Alix C. Toulme Jr. (Qualified Write In),0
Bridgeport 3,Mail-in,Unresolved Write-In,3
Bridgeport 3,Provisional,Christin Powers (Qualified Write In),0
Bridgeport 3,Provisional,Richard Root (Qualified Write In),0
Bridgeport 3,Provisional,Suzie Scott (Qualified Write In),0
Bridgeport 3,Provisional,Edward Shlikas (Qualified Write In),0
Bridgeport 3,Provisional,Christopher Stried (Qualified Write In),0
Bridgeport 3,Provisional,Alix C. Toulme Jr. (Qualified Write In),0
Bridgeport 3,Provisional,Unresolved Write-In,0
Bridgeport 3,Total,Christin Powers (Qualified Write In),0
Bridgeport 3,Total,Richard Root (Qualified Write In),0
Bridgeport 3,Total,Suzie Scott (Qualified Write In),0
Bridgeport 3,Total,Edward Shlikas (Qualified Write In),0
Bridgeport 3,Total,Christopher Stried (Qualified Write In),0
Bridgeport 3,Total,Alix C. Toulme Jr. (Qualified Write In),0
Bridgeport 3,Total,Unresolved Write-In,8
Bryn Athyn,Election Day,Christin Powers (Qualified Write In),****
Bryn Athyn,Election Day,Richard Root (Qualified Write In),****
Bryn Athyn,Election Day,Suzie Scott (Qualified Write In),****
Bryn Athyn,Election Day,Edward Shlikas (Qualified Write In),****
Bryn Athyn,Election Day,Christopher Stried (Qualified Write In),****
Bryn Athyn,Election Day,Alix C. Toulme Jr. (Qualified Write In),****
Bryn Athyn,Election Day,Unresolved Write-In,****
Bryn Athyn,Mail-in,Christin Powers (Qualified Write In),****
Bryn Athyn,Mail-in,Richard Root (Qualified Write In),****
Bryn Athyn,Mail-in,Suzie Scott (Qualified Write In),****
Bryn Athyn,Mail-in,Edward Shlikas (Qualified Write In),****
Bryn Athyn,Mail-in,Christopher Stried (Qualified Write In),****
Bryn Athyn,Mail-in,Alix C. Toulme Jr. (Qualified Write In),****
Bryn Athyn,Mail-in,Unresolved Write-In,****
Bryn Athyn,Provisional,Christin Powers (Qualified Write In),****
Bryn Athyn,Provisional,Richard Root (Qualified Write In),****
Bryn Athyn,Provisional,Suzie Scott (Qualified Write In),****
Bryn Athyn,Provisional,Edward Shlikas (Qualified Write In),****
Bryn Athyn,Provisional,Christopher Stried (Qualified Write In),****
Bryn Athyn,Provisional,Alix C. Toulme Jr. (Qualified Write In),****
Bryn Athyn,Provisional,Unresolved Write-In,****
Bryn Athyn,Total,Christin Powers (Qualified Write In),0
Bryn Athyn,Total,Richard Root (Qualified Write In),0
Bryn Athyn,Total,Suzie Scott (Qualified Write In),0
Bryn Athyn,Total,Edward Shlikas (Qualified Write In),0
Bryn Athyn,Total,Christopher Stried (Qualified Write In),0
Bryn Athyn,Total,Alix C. Toulme Jr. (Qualified Write In),0
Bryn Athyn,Total,Unresolved Write-In,2
Collegeville 1,Election Day,Christin Powers (Qualified Write In),0
Collegeville 1,Election Day,Richard Root (Qualified Write In),0
Collegeville 1,Election Day,Suzie Scott (Qualified Write In),0
Collegeville 1,Election Day,Edward Shlikas (Qualified Write In),0
Collegeville 1,Election Day,Christopher Stried (Qualified Write In),0
Collegeville 1,Election Day,Alix C. Toulme Jr. (Qualified Write In),0
Collegeville 1,Election Day,Unresolved Write-In,5
Collegeville 1,Mail-in,Christin Powers (Qualified Write In),0
Collegeville 1,Mail-in,Richard Root (Qualified Write In),0
Collegeville 1,Mail-in,Suzie Scott (Qualified Write In),0
Collegeville 1,Mail-in,Edward Shlikas (Qualified Write In),0
Collegeville 1,Mail-in,Christopher Stried (Qualified Write In),0
Collegeville 1,Mail-in,Alix C. Toulme Jr. (Qualified Write In),0
Collegeville 1,Mail-in,Unresolved Write-In,2
Collegeville 1,Provisional,Christin Powers (Qualified Write In),0
Collegeville 1,Provisional,Richard Root (Qualified Write In),0
Collegeville 1,Provisional,Suzie Scott (Qualified Write In),0
Collegeville 1,Provisional,Edward Shlikas (Qualified Write In),0
Collegeville 1,Provisional,Christopher Stried (Qualified Write In),0
Collegeville 1,Provisional,Alix C. Toulme Jr. (Qualified Write In),0
Collegeville 1,Provisional,Unresolved Write-In,0
Collegeville 1,Total,Christin Powers (Qualified Write In),0
Collegeville 1,Total,Richard Root (Qualified Write In),0
Collegeville 1,Total,Suzie Scott (Qualified Write In),0
Collegeville 1,Total,Edward Shlikas (Qualified Write In),0
Collegeville 1,Total,Christopher Stried (Qualified Write In),0
Collegeville 1,Total,Alix C. Toulme Jr. (Qualified Write In),0
Collegeville 1,Total,Unresolved Write-In,7
Collegeville 2,Election Day,Christin Powers (Qualified Write In),0
Collegeville 2,Election Day,Richard Root (Qualified Write In),0
Collegeville 2,Election Day,Suzie Scott (Qualified Write In),0
Collegeville 2,Election Day,Edward Shlikas (Qualified Write In),0
Collegeville 2,Election Day,Christopher Stried (Qualified Write In),0
Collegeville 2,Election Day,Alix C. Toulme Jr. (Qualified Write In),0
Collegeville 2,Election Day,Unresolved Write-In,3
Collegeville 2,Mail-in,Christin Powers (Qualified Write In),0
Collegeville 2,Mail-in,Richard Root (Qualified Write In),0
Collegeville 2,Mail-in,Suzie Scott (Qualified Write In),0
Collegeville 2,Mail-in,Edward Shlikas (Qualified Write In),0
Collegeville 2,Mail-in,Christopher Stried (Qualified Write In),0
Collegeville 2,Mail-in,Alix C. Toulme Jr. (Qualified Write In),0
Collegeville 2,Mail-in,Unresolved Write-In,0
Collegeville 2,Provisional,Christin Powers (Qualified Write In),0
Collegeville 2,Provisional,Richard Root (Qualified Write In),0
Collegeville 2,Provisional,Suzie Scott (Qualified Write In),0
Collegeville 2,Provisional,Edward Shlikas (Qualified Write In),0
Collegeville 2,Provisional,Christopher Stried (Qualified Write In),0
Collegeville 2,Provisional,Alix C. Toulme Jr. (Qualified Write In),0
Collegeville 2,Provisional,Unresolved Write-In,0
Collegeville 2,Total,Christin Powers (Qualified Write In),0
Collegeville 2,Total,Richard Root (Qualified Write In),0
Collegeville 2,Total,Suzie Scott (Qualified Write In),0
Collegeville 2,Total,Edward Shlikas (Qualified Write In),0
Collegeville 2,Total,Christopher Stried (Qualified Write In),0
Collegeville 2,Total,Alix C. Toulme Jr. (Qualified Write In),0
Collegeville 2,Total,Unresolved Write-In,3
Collegeville 3,Election Day,Christin Powers (Qualified Write In),0
Collegeville 3,Election Day,Richard Root (Qualified Write In),0
Collegeville 3,Election Day,Suzie Scott (Qualified Write In),0
Collegeville 3,Election Day,Edward Shlikas (Qualified Write In),0
