precinct,method,candidate,votes
Souderton 2,Election Day,UnresolvedWrite-In,2
Souderton 2,Mail-in,UnresolvedWrite-In,0
Souderton 2,Provisional,UnresolvedWrite-In,0
Souderton 2,Total,UnresolvedWrite-In,2
Souderton 3,Election Day,UnresolvedWrite-In,****
Souderton 3,Mail-in,UnresolvedWrite-In,****
Souderton 3,Provisional,UnresolvedWrite-In,****
Souderton 3,Total,UnresolvedWrite-In,1
Telford,Election Day,UnresolvedWrite-In,6
Telford,Mail-in,UnresolvedWrite-In,0
Telford,Provisional,UnresolvedWrite-In,0
Telford,Total,UnresolvedWrite-In,6
Franconia 1,Election Day,UnresolvedWrite-In,****
Franconia 1,Mail-in,UnresolvedWrite-In,****
Franconia 1,Provisional,UnresolvedWrite-In,****
Franconia 1,Total,UnresolvedWrite-In,4
Franconia 2,Election Day,UnresolvedWrite-In,****
Franconia 2,Mail-in,UnresolvedWrite-In,****
Franconia 2,Provisional,UnresolvedWrite-In,****
Franconia 2,Total,UnresolvedWrite-In,4
Franconia 3,Election Day,UnresolvedWrite-In,****
Franconia 3,Mail-in,UnresolvedWrite-In,****
Franconia 3,Provisional,UnresolvedWrite-In,****
Franconia 3,Total,UnresolvedWrite-In,2
