0,1,2
Precinct,Times Cast,"Registered 
Voters"
Horsham 3-2,,
Election Day,639,"1,111"
Mail-in,291,"1,111"
Provisional,5,"1,111"
Total,935,"1,111"
Horsham 3-4,,
Election Day,585,939
Mail-in,218,939
Provisional,4,939
Total,807,939
Horsham 3-5,,
Election Day,549,922
Mail-in,198,922
Provisional,2,922
Total,749,922
Horsham 4-1,,
Election Day,357,619
Mail-in,184,619
Provisional,2,619
Total,543,619
Horsham 4-2,,
Election Day,526,"1,013"
Mail-in,320,"1,013"
Provisional,6,"1,013"
Total,852,"1,013"
Horsham 4-3,,
Election Day,317,610
Mail-in,193,610
Provisional,6,610
Total,516,610
