0,1,2
Precinct,Times Cast,"Registered 
Voters"
West Norriton 1-2,,
Election Day,614,"1,014"
Mail-in,273,"1,014"
Provisional,0,"1,014"
Total,887,"1,014"
West Norriton 2-1,,
Election Day,806,"1,434"
Mail-in,372,"1,434"
Provisional,11,"1,434"
Total,"1,189","1,434"
West Norriton 2-2,,
Election Day,630,"1,061"
Mail-in,225,"1,061"
Provisional,6,"1,061"
Total,861,"1,061"
West Norriton 3-1,,
Election Day,"1,218","2,579"
Mail-in,734,"2,579"
Provisional,24,"2,579"
Total,"1,976","2,579"
West Norriton 3-2,,
Election Day,662,"1,219"
Mail-in,351,"1,219"
Provisional,7,"1,219"
Total,"1,020","1,219"
West Norriton 4-1,,
Election Day,742,"1,511"
Mail-in,509,"1,511"
Provisional,10,"1,511"
Total,"1,261","1,511"
