precinct,method,candidate,votes
Conshohocken 1,Election Day,VINCENT HUGHES(DEM),765
Conshohocken 1,Election Day,Unresolved Write-In,52
Conshohocken 1,Mail-in,VINCENT HUGHES(DEM),399
Conshohocken 1,Mail-in,Unresolved Write-In,13
Conshohocken 1,Provisional,VINCENT HUGHES(DEM),16
Conshohocken 1,Provisional,Unresolved Write-In,0
Conshohocken 1,Total,VINCENT HUGHES(DEM),"1,180"
Conshohocken 1,Total,Unresolved Write-In,65
Conshohocken 2,Election Day,VINCENT HUGHES(DEM),****
Conshohocken 2,Election Day,Unresolved Write-In,****
Conshohocken 2,Mail-in,VINCENT HUGHES(DEM),****
Conshohocken 2,Mail-in,Unresolved Write-In,****
Conshohocken 2,Provisional,VINCENT HUGHES(DEM),****
Conshohocken 2,Provisional,Unresolved Write-In,****
Conshohocken 2,Total,VINCENT HUGHES(DEM),207
Conshohocken 2,Total,Unresolved Write-In,13
Conshohocken 3,Election Day,VINCENT HUGHES(DEM),573
Conshohocken 3,Election Day,Unresolved Write-In,35
Conshohocken 3,Mail-in,VINCENT HUGHES(DEM),246
Conshohocken 3,Mail-in,Unresolved Write-In,12
Conshohocken 3,Provisional,VINCENT HUGHES(DEM),11
Conshohocken 3,Provisional,Unresolved Write-In,0
Conshohocken 3,Total,VINCENT HUGHES(DEM),830
Conshohocken 3,Total,Unresolved Write-In,47
Conshohocken 4,Election Day,VINCENT HUGHES(DEM),498
Conshohocken 4,Election Day,Unresolved Write-In,39
Conshohocken 4,Mail-in,VINCENT HUGHES(DEM),222
Conshohocken 4,Mail-in,Unresolved Write-In,12
Conshohocken 4,Provisional,VINCENT HUGHES(DEM),10
Conshohocken 4,Provisional,Unresolved Write-In,0
Conshohocken 4,Total,VINCENT HUGHES(DEM),730
Conshohocken 4,Total,Unresolved Write-In,51
Conshohocken 5,Election Day,VINCENT HUGHES(DEM),****
Conshohocken 5,Election Day,Unresolved Write-In,****
Conshohocken 5,Mail-in,VINCENT HUGHES(DEM),****
Conshohocken 5,Mail-in,Unresolved Write-In,****
Conshohocken 5,Provisional,VINCENT HUGHES(DEM),****
Conshohocken 5,Provisional,Unresolved Write-In,****
Conshohocken 5,Total,VINCENT HUGHES(DEM),598
Conshohocken 5,Total,Unresolved Write-In,24
