0,1,2
Precinct,Times Cast,"Registered 
Voters"
County,,
PA County,,
Conshohocken 1,,
Election Day,"1,024","1,879"
Mail-in,476,"1,879"
Provisional,20,"1,879"
Total,"1,520","1,879"
Conshohocken 2,,
Election Day,190,341
Mail-in,62,341
Provisional,1,341
Total,253,341
Conshohocken 3,,
Election Day,752,"1,459"
Mail-in,288,"1,459"
Provisional,14,"1,459"
Total,"1,054","1,459"
Conshohocken 4,,
Election Day,679,"1,146"
Mail-in,263,"1,146"
Provisional,11,"1,146"
Total,953,"1,146"
Conshohocken 5,,
Election Day,582,912
Mail-in,163,912
Provisional,7,912
Total,752,912
