0,1,2
Precinct,Times Cast,"Registered 
Voters"
Abington 15-1,,
Election Day,837,"1,370"
Mail-in,302,"1,370"
Provisional,11,"1,370"
Total,"1,150","1,370"
Abington 15-2,,
Election Day,839,"1,294"
Mail-in,294,"1,294"
Provisional,11,"1,294"
Total,"1,144","1,294"
Cheltenham 1-1,,
Election Day,758,"1,304"
Mail-in,345,"1,304"
Provisional,13,"1,304"
Total,"1,116","1,304"
Cheltenham 1-2,,
Election Day,521,919
Mail-in,261,919
Provisional,11,919
Total,793,919
Cheltenham 1-3,,
Election Day,416,653
Mail-in,140,653
Provisional,3,653
Total,559,653
Cheltenham 1-4,,
Election Day,523,853
Mail-in,186,853
Provisional,1,853
Total,710,853
