precinct,method,candidate,votes
Ambler 1,Election Day,ROBERT P CASEY JR(DEM),****
Ambler 1,Election Day,DAVE MCCORMICK(REP),****
Ambler 1,Mail-in,ROBERT P CASEY JR(DEM),****
Ambler 1,Mail-in,DAVE MCCORMICK(REP),****
Ambler 1,Provisional,ROBERT P CASEY JR(DEM),****
Ambler 1,Provisional,DAVE MCCORMICK(REP),****
Ambler 1,Total,ROBERT P CASEY JR(DEM),903
Ambler 1,Total,DAVE MCCORMICK(REP),371
Ambler 2,Election Day,ROBERT P CASEY JR(DEM),634
Ambler 2,Election Day,DAVE MCCORMICK(REP),305
Ambler 2,Mail-in,ROBERT P CASEY JR(DEM),287
Ambler 2,Mail-in,DAVE MCCORMICK(REP),62
Ambler 2,Provisional,ROBERT P CASEY JR(DEM),9
Ambler 2,Provisional,DAVE MCCORMICK(REP),3
Ambler 2,Total,ROBERT P CASEY JR(DEM),930
Ambler 2,Total,DAVE MCCORMICK(REP),370
Ambler 3,Election Day,ROBERT P CASEY JR(DEM),****
Ambler 3,Election Day,DAVE MCCORMICK(REP),****
Ambler 3,Mail-in,ROBERT P CASEY JR(DEM),****
Ambler 3,Mail-in,DAVE MCCORMICK(REP),****
Ambler 3,Provisional,ROBERT P CASEY JR(DEM),****
Ambler 3,Provisional,DAVE MCCORMICK(REP),****
Ambler 3,Total,ROBERT P CASEY JR(DEM),794
Ambler 3,Total,DAVE MCCORMICK(REP),322
Bridgeport 1,Election Day,ROBERT P CASEY JR(DEM),****
Bridgeport 1,Election Day,DAVE MCCORMICK(REP),****
Bridgeport 1,Mail-in,ROBERT P CASEY JR(DEM),****
Bridgeport 1,Mail-in,DAVE MCCORMICK(REP),****
Bridgeport 1,Provisional,ROBERT P CASEY JR(DEM),****
Bridgeport 1,Provisional,DAVE MCCORMICK(REP),****
Bridgeport 1,Total,ROBERT P CASEY JR(DEM),417
Bridgeport 1,Total,DAVE MCCORMICK(REP),197
Bridgeport 2,Election Day,ROBERT P CASEY JR(DEM),****
Bridgeport 2,Election Day,DAVE MCCORMICK(REP),****
Bridgeport 2,Mail-in,ROBERT P CASEY JR(DEM),****
Bridgeport 2,Mail-in,DAVE MCCORMICK(REP),****
Bridgeport 2,Provisional,ROBERT P CASEY JR(DEM),****
Bridgeport 2,Provisional,DAVE MCCORMICK(REP),****
Bridgeport 2,Total,ROBERT P CASEY JR(DEM),487
Bridgeport 2,Total,DAVE MCCORMICK(REP),356
Hatfield Borough,Election Day,JOHN C THOMAS(LIB),****
Hatfield Borough,Election Day,LEILA HAZOU(GRE),****
Hatfield Borough,Election Day,MARTY SELKER(CON),****
Hatfield Borough,Election Day,Unresolved Write-In,****
Hatfield Borough,Mail-in,JOHN C THOMAS(LIB),****
Hatfield Borough,Mail-in,LEILA HAZOU(GRE),****
Hatfield Borough,Mail-in,MARTY SELKER(CON),****
Hatfield Borough,Mail-in,Unresolved Write-In,****
Hatfield Borough,Provisional,JOHN C THOMAS(LIB),****
Hatfield Borough,Provisional,LEILA HAZOU(GRE),****
Hatfield Borough,Provisional,MARTY SELKER(CON),****
Hatfield Borough,Provisional,Unresolved Write-In,****
Hatfield Borough,Total,JOHN C THOMAS(LIB),31
Hatfield Borough,Total,LEILA HAZOU(GRE),32
Hatfield Borough,Total,MARTY SELKER(CON),6
Hatfield Borough,Total,Unresolved Write-In,1
Jenkintown 1,Election Day,JOHN C THOMAS(LIB),****
Jenkintown 1,Election Day,LEILA HAZOU(GRE),****
Jenkintown 1,Election Day,MARTY SELKER(CON),****
Jenkintown 1,Election Day,Unresolved Write-In,****
Jenkintown 1,Mail-in,JOHN C THOMAS(LIB),****
Jenkintown 1,Mail-in,LEILA HAZOU(GRE),****
Jenkintown 1,Mail-in,MARTY SELKER(CON),****
Jenkintown 1,Mail-in,Unresolved Write-In,****
Jenkintown 1,Provisional,JOHN C THOMAS(LIB),****
Jenkintown 1,Provisional,LEILA HAZOU(GRE),****
Jenkintown 1,Provisional,MARTY SELKER(CON),****
Jenkintown 1,Provisional,Unresolved Write-In,****
Jenkintown 1,Total,JOHN C THOMAS(LIB),12
Jenkintown 1,Total,LEILA HAZOU(GRE),11
Jenkintown 1,Total,MARTY SELKER(CON),4
Jenkintown 1,Total,Unresolved Write-In,1
Jenkintown 2,Election Day,JOHN C THOMAS(LIB),****
Jenkintown 2,Election Day,LEILA HAZOU(GRE),****
Jenkintown 2,Election Day,MARTY SELKER(CON),****
Jenkintown 2,Election Day,Unresolved Write-In,****
Jenkintown 2,Mail-in,JOHN C THOMAS(LIB),****
Jenkintown 2,Mail-in,LEILA HAZOU(GRE),****
Jenkintown 2,Mail-in,MARTY SELKER(CON),****
Jenkintown 2,Mail-in,Unresolved Write-In,****
Jenkintown 2,Provisional,JOHN C THOMAS(LIB),****
Jenkintown 2,Provisional,LEILA HAZOU(GRE),****
Jenkintown 2,Provisional,MARTY SELKER(CON),****
Jenkintown 2,Provisional,Unresolved Write-In,****
Jenkintown 2,Total,JOHN C THOMAS(LIB),3
Jenkintown 2,Total,LEILA HAZOU(GRE),6
Jenkintown 2,Total,MARTY SELKER(CON),3
Jenkintown 2,Total,Unresolved Write-In,1
Jenkintown 3,Election Day,JOHN C THOMAS(LIB),****
Jenkintown 3,Election Day,LEILA HAZOU(GRE),****
Jenkintown 3,Election Day,MARTY SELKER(CON),****
Jenkintown 3,Election Day,Unresolved Write-In,****
Jenkintown 3,Mail-in,JOHN C THOMAS(LIB),****
Jenkintown 3,Mail-in,LEILA HAZOU(GRE),****
Jenkintown 3,Mail-in,MARTY SELKER(CON),****
Jenkintown 3,Mail-in,Unresolved Write-In,****
Jenkintown 3,Provisional,JOHN C THOMAS(LIB),****
Jenkintown 3,Provisional,LEILA HAZOU(GRE),****
Jenkintown 3,Provisional,MARTY SELKER(CON),****
Jenkintown 3,Provisional,Unresolved Write-In,****
Jenkintown 3,Total,JOHN C THOMAS(LIB),4
Jenkintown 3,Total,LEILA HAZOU(GRE),9
Jenkintown 3,Total,MARTY SELKER(CON),0
Jenkintown 3,Total,Unresolved Write-In,1
Jenkintown 4,Election Day,JOHN C THOMAS(LIB),7
Jenkintown 4,Election Day,LEILA HAZOU(GRE),8
Jenkintown 4,Election Day,MARTY SELKER(CON),1
Jenkintown 4,Election Day,Unresolved Write-In,0
Jenkintown 4,Mail-in,JOHN C THOMAS(LIB),0
Jenkintown 4,Mail-in,LEILA HAZOU(GRE),2
Jenkintown 4,Mail-in,MARTY SELKER(CON),0
Jenkintown 4,Mail-in,Unresolved Write-In,0
Jenkintown 4,Provisional,JOHN C THOMAS(LIB),0
Jenkintown 4,Provisional,LEILA HAZOU(GRE),0
Jenkintown 4,Provisional,MARTY SELKER(CON),0
Jenkintown 4,Provisional,Unresolved Write-In,0
Jenkintown 4,Total,JOHN C THOMAS(LIB),7
Jenkintown 4,Total,LEILA HAZOU(GRE),10
Jenkintown 4,Total,MARTY SELKER(CON),1
Jenkintown 4,Total,Unresolved Write-In,0
Lansdale 1-1,Election Day,JOHN C THOMAS(LIB),18
Lansdale 1-1,Election Day,LEILA HAZOU(GRE),22
Lansdale 1-1,Election Day,MARTY SELKER(CON),5
Lansdale 1-1,Election Day,Unresolved Write-In,1
Lansdale 1-1,Mail-in,JOHN C THOMAS(LIB),5
Lansdale 1-1,Mail-in,LEILA HAZOU(GRE),5
